"description","code","year"
"Sarrasin","SRS","2020"
"Seigle d'hiver","SGH","2020"
"Seigle de printemps","SGP","2020"
"Sorgho","SOG","2020"
"Triticale d'hiver","TTH","2020"
"Triticale de printemps","TTP","2020"
"Autre céréale d'hiver de genre Avena","CHA","2020"
"Autre céréale d'hiver de genre Hordeum","CHH","2020"
"Autre céréale d'hiver de genre Secale","CHS","2020"
"Autre céréale d'hiver de genre Triticum","CHT","2020"
"Autre céréale de printemps de genre Avena","CPA","2020"
"Autre céréale de printemps de genre Hordeum","CPH","2020"
"Autre céréale de printemps de genre Secale","CPS","2020"
"Autre céréale de printemps de genre Triticum","CPT","2020"
"Féverole","FVL","2020"
"Jarosse déshydratée","JOD","2020"
"Lupin doux d'hiver","LDH","2020"
"Lupin doux de printemps","LDP","2020"
"Luzerne déshydratée","LUD","2020"
"Mélilot déshydraté","MED","2020"
"Pois d'hiver","PHI","2020"
"Pois de printemps","PPR","2020"
"Sainfoin déshydraté","SAD","2020"
"Soja","SOJ","2020"
"Tournesol","TRN","2020"
"Autre oléagineux d'hiver d'espèce Brassica napus","OHN","2020"
"Autre oléagineux d'hiver d'espèce Brassica rapa","OHR","2020"
"Autre oléagineux de printemps d'espèce Brassica napus","OPN","2020"
"Autre oléagineux de printemps d'espèce Brassica rapa","OPR","2020"
"Autre oléagineux d'espèce Helianthus","OEH","2020"
"Autre oléagineux d'un autre genre *","OAG","2020"
"Mélange d'oléagineux","MOL","2020"
"Phacélie de 5 ans ou moins","PCL","2020"
"Ray-grass de 5 ans ou moins","RGA","2020"
"X-Festulolium de 5 ans ou moins","XFE","2020"
"Autre graminée fourragère pure de 5 ans ou moins","GFP","2020"
"Mélange de légumineuses prépondérantes et de graminées fourragères de 5 ans ou moins","MLG","2020"
"Autre prairie temporaire de 5 ans ou moins","PTR","2020"
"Lentille cultivée (non fourragère)","LEC","2020"
"Lotier","LOT","2020"
"Minette","MIN","2020"
"Pois chiche","PCH","2020"
"Mélange de légumineuses non fourragères prépondérantes et de céréales et/ou oléagineux","MLS","2020"
"Bande admissible le long d'une forêt avec production","BFP","2020"
"Bande admissible le long d'une forêt sans production","BFS","2020"
"Bande tampon","BTA","2020"
"Bordure de champ","BOR","2020"
"Cultures conduites en inter- rangs 2 cultures représentant chacune plus de 25%","CID","2020"
"Cultures conduites en inter- rangs 3 cultures représentant chacune plus de 25%","CIT","2020"
"Bois pâturé (prairie herbacée sous couvert d'arbres)","BOP","2020"
"Châtaigneraie entretenue par des porcins ou des petits ruminants (ATTENTION : code mobilisable uniquement en Corse et Petite région des causses cévenols et méridionaux)","CAE","2020"
"Chênaie entretenue par des porcins ou des petits ruminants (ATTENTION . code mobilisable uniquement en Corse et Petite région des causses cévenols et méridionaux)","CEE","2020"
"Roselière","Roselière","Roselière"
"Mélisse","MLI","2020"
"Menthe","MTH","2020"
"Millepertuis","MLP","2020"
"Oseille","OSE","2020"
"Ortie","ORT","2020"
"Pâquerette","PAQ","2020"
"Pensée","PSE","2020"
"Persil","PSL","2020"
"Plantain psyllium","PSY","2020"
"Primevère","PMV","2020"
"Psyllium noir de Provence","PSN","2020"
"Romarin","ROM","2020"
"Sariette","SRI","2020"
"Sauge","SGE","2020"
"Thym","THY","2020"
"Valériane","VAL","2020"
"Véronique","VER","2020"
"Autres plantes ornementales et PPAM annuelles","PPA","2020"
"Autres plantes ornementales et PPAM pérennes *","PPP","2020"
"Autre céréale de printemps de genre Zea","CPZ","2020"
"Autre céréale de genre Phalaris","CGH","2020"
"Autre céréale de genre Panicum","CGP","2020"
"Autre céréale de genre Sorghum","CGO","2020"
"Autre céréale de genre Setaria","CGS","2020"
"Chanvre","CHV","2020"
"Lin fibres","Lin fibres","Lin fibres"
"Féverole fourragère","FFO","2020"
"Jarosse","JOS","2020"
"Lupin fourrager d'hiver","LFH","2020"
"Lupin fourrager de printemps","LFP","2020"
"Luzerne","LUZ","2020"
"Mélilot","MEL","2020"
"Pois fourrager d'hiver","PFH","2020"
"Pois fourrager de printemps","PFP","2020"
"Sainfoin","SAI","2020"
"Autre plante fourragère sarclée d'un autre genre","FSG","2020"
"Autre fourrage annuel d'un autre genre *","FAG","2020"
"Fourrage composé de céréales et/ou de protéagineux (en proportion < 50%) et/ou de légumineuses fourragères (en proportion < 50%)","CPL","2020"
"Avoine d'hiver","AVH","2020"
"Avoine de printemps","AVP","2020"
"Blé dur d'hiver","BDH","2020"
"Blé dur de printemps","BDP","2020"
"Blé tendre d'hiver","BTH","2020"
"Blé tendre de printemps","BTP","2020"
"Épeautre","EPE","2020"
"Maïs doux","MID","2020"
"Maïs ensilage","MIE","2020"
"Maïs","MIS","2020"
"Millet","MLT","2020"
"Moha","MOH","2020"
"Orge d'hiver","ORH","2020"
"Orge de printemps","ORP","2020"
"Riz","RIZ","2020"
"Cameline","CML","2020"
"Colza d'hiver","CZH","2020"
"Colza de printemps","CZP","2020"
"Lin non textile d'hiver","LIH","2020"
"Lin non textile de printemps","LIP","2020"
"Moutarde","MOT","2020"
"Navette d'été","NVE","2020"
"Navette d'hiver","NVH","2020"
"Nyger","NYG","2020"
"Œillette (Pavot)","OEI","2020"
"Culture sous abattis","CUA","2020"
"Curcuma","CUR","2020"
"Géranium","GER","2020"
"Horticulture ornementale de plein champ","HPC","2020"
"Horticulture ornementale sous abri","HSA","2020"
"Légume sous abri","LSA","2020"
"Plante à parfum (autre que géranium et vétiver)","PPF","2020"
"Plante aromatique (autre que vanille)","PAR","2020"
"Plante médicinale","PMD","2020"
"Tubercule tropical","TBT","2020"
"Vanille","VNL","2020"
"Vanille sous bois","VNB","2020"
"Verger (DOM)","VGD","2020"
"Vétiver","VET","2020"
"Ylang-ylang","YLA","2020"
"Autre culture non précisée dans la liste (admissible)","ACA","2020"
"Aneth","ANE","2020"
"Angélique","ANG","2020"
"Anis","ANI","2020"
"Bardane","BAR","2020"
"Basilic","BAS","2020"
"Bleuet","BLT","2020"
"Bugle rampant","BUR","2020"
"Camomille","CMM","2020"
"Carvi","CAV","2020"
"Cerfeuil","CRF","2020"
"Chardon Marie","CHR","2020"
"Ciboulette","CIB","2020"
"Coriandre","CRD","2020"
"Cumin","CUM","2020"
"Estragon","EST","2020"
"Fenouil","FNO","2020"
"Gaillet","GAI","2020"
"Lavande/Lavandin","LAV","2020"
"Marguerite","MRG","2020"
"Marjolaine / Origan","MRJ","2020"
"Mauve","MAV","2020"
"Betterave fourragère","BVF","2020"
"Carotte fourragère","CAF","2020"
"Chou fourrager","CHF","2020"
"Lentille fourragère","LEF","2020"
"Navet fourrager","NVF","2020"
"Radis fourrager","RDF","2020"
"Jachère de 5 ans ou moins","J5M","2020"
"Jachère de 6 ans ou plus déclarée comme SIE","J6S","2020"
"Jachère de 6 ans ou plus","J6P","2020"
"Jachère noire","JNO","2020"
"Pistache","PIS","2020"
"Poire Williams pour transformation","PWT","2020"
"Prune d'Ente pour transformation","PRU","2020"
"Autres vergers","VRG","2020"
"Vigne raisins de cuve en production","VRC","2020"
"Vigne raisins de table","VRT","2020"
"Vigne raisins de cuve non en production **","VRN","2020"
"Restructuration du vignoble","RVI","2020"
"Ail","AIL","2020"
"Artichaut","ART","2020"
"Aubergine","AUB","2020"
"Avocat","AVO","2020"
"Betterave non fourragère / Bette","BTN","2020"
"Carotte","CAR","2020"
"Céleri","CEL","2020"
"Chicorée / Endive / Scarole","CES","2020"
"Chou","CHU","2020"
"Concombre / Cornichon","CCN","2020"
"Courge musquée / Butternut","CMB","2020"
"Courgette / Citrouille","CCT","2020"
"Cresson","CRS","2020"
"Epinard","EPI","2020"
"Fève","FEV","2020"
"Fraise","FRA","2020"
"Haricot / Flageolet","HAR","2020"
"Houblon","HBL","2020"
"Laitue / Batavia / Feuille de chêne","LBF","2020"
"Mâche","MAC","2020"
"Autre mélange de plantes fixant l'azote","MPA","2020"
"Miscanthus","MCT","2020"
"Culture sous serre hors sol","CSS","2020"
"Taillis à courte rotation","TCR","2020"
"Truffière (plants mycorhizés)","TRU","2020"
"Surface boisée sur une ancienne terre agricole","SBO","2020"
"Surface agricole temporairement non exploitée","SNE","2020"
"Marais salant","MRS","2020"
"Prairie en rotation longue (6 ans ou plus)","PRL","2020"
"Prairie permanente herbe (ressources fourragères ligneuses absentes ou peu présentes)","PHH","2020"
"Surface pastorale - herbe prédominante et ressources fourragères ligneuses présentes","SPH","2020"
"Surface pastorale ressources fourragères ligneuses prédominantes (ATTENTION ces surfaces sont admissibles aux aides du 1er pilier de la PAC uniquement dans les départements 01, 04, 05, 06, 07, 09, 11, 12, 13, 15, 19, 2A, 2B, 23, 24, 26, 30, 31, 32, 34, 38, 42. 43, 46, 47, 48, 63, 64, 65, 66, 69, 73, 74, 81, 82, 83, 84 et 87)","SPL","2020"
"Agrume","AGR","2020"
"Caroube","CAB","2020"
"Cerise bigarreau pour transformation","CBT","2020"
"Châtaigne","CTG","2020"
"Noisette","NOS","2020"
"Noix","NOX","2020"
"Oliveraie","OLI","2020"
"Pêche Pavie pour transformation","PVT","2020"
"Pépinière","PEP","2020"
"Petit fruit rouge *","PFR","2020"
"Autre céréale de genre Fagopyrum","CGF","2020"
"Autre céréale ou pseudo-céréale d'un autre genre*","CAG","2020"
"Mélange de céréales ou pseudo-céréales pures ou en mélange avec des protéagineux non prépondérants","MCR","2020"
"Melon","MLO","2020"
"Navet","NVT","2020"
"Oignon / Echalotte","OIG","2020"
"Panais","PAN","2020"
"Pastèque","PAS","2020"
"Pois (petits pois, pois cassés, pois gourmands)","PPO","2020"
"Poireau","POR","2020"
"Poivron / Piment","PVP","2020"
"Pomme de terre de consommation","PTC","2020"
"Pomme de terre féculière","PTF","2020"
"Potiron / Potimarron","POT","2020"
"Radis","RDI","2020"
"Roquette","ROQ","2020"
"Rutabaga","RUT","2020"
"Salsifis","SFI","2020"
"Tabac","TAB","2020"
"Tomate","TOM","2020"
"Tomate pour transformation","TOT","2020"
"Topinambour","TOP","2020"
"Autre légume ou fruit annuel","FLA","2020"
"Autre légume ou fruit pérenne *","FLP","2020"
"Serradelle déshydratée","SED","2020"
"Trèfle déshydraté","TRD","2020"
"Vesce déshydratée","VED","2020"
"Autre protéagineux d'un autre genre *","PAG","2020"
"Mélange de légumineuses déshydratées ** (entre elles)","MLD","2020"
"Mélange de protéagineux (pois et/ou lupin et/ou féverole)","MPP","2020"
"Mélange de protéagineux prépondérants (pois et/ou lupin et/ou féverole) et de céréales","MPC","2020"
"Arachide","ARA","2020"
"Cornille","CRN","2020"
"Dolique","DOL","2020"
"Fenugrec","FNU","2020"
"Gesse","GES","2020"
"Ananas","ANA","2020"
"Banane créole (fruit et légume) - autre","BCA","2020"
"Banane créole (fruit et légume) - fermage","BCF","2020"
"Banane créole (fruit et légume) - indivision","BCI","2020"
"Banane créole (fruit et légume) - propriété ou faire valoir direct","BCP","2020"
"Banane créole (fruit et légume) - réforme foncière","BCR","2020"
"Banane export autre","BEA","2020"
"Banane export fermage","BEF","2020"
"Banane export indivision","BEI","2020"
"Banane export - propriété ou faire valoir direct","BEP","2020"
"Banane export - réforme foncière","BER","2020"
"Café / Cacao","CAC","2020"
"Canne à sucre autre","CSA","2020"
"Canne à sucre fermage","CSF","2020"
"Canne à sucre indivision","CSI","2020"
"Canne à sucre propriété ou faire valoir direct","CSP","2020"
"Canne à sucre - réforme foncière","CSR","2020"
"Serradelle","SER","2020"
"Trèfle","TRE","2020"
"Vesce","VES","2020"
"Mélange de légumineuses fourragères * (entre elles)","MLF","2020"
"Mélange de légumineuses fourragères * prépondérantes et de céréales et/ou d'oléagineux","MLC","2020"
"Bourrache de 5 ans ou moins","BRH","2020"
"Brôme de 5 ans ou moins","BRO","2020"
"Cresson alénois de 5 ans ou moins","CRA","2020"
"Dactyle de 5 ans ou moins","DTY","2020"
"Fétuque de 5 ans ou moins","FET","2020"
"Fléole de 5 ans ou moins","FLO","2020"
"Paturin commun de 5 ans ou moins","PAT","2020"
"Sarrasin","SRS","2019"
"Seigle d'hiver","SGH","2019"
"Seigle de printemps","SGP","2019"
"Sorgho","SOG","2019"
"Triticale d'hiver","TTH","2019"
"Triticale de printemps","TTP","2019"
"Autre céréale d'hiver de genre Avena","CHA","2019"
"Autre céréale d'hiver de genre Hordeum","CHH","2019"
"Autre céréale d'hiver de genre Secale","CHS","2019"
"Autre céréale d'hiver de genre Triticum","CHT","2019"
"Autre céréale de printemps de genre Avena","CPA","2019"
"Autre céréale de printemps de genre Hordeum","CPH","2019"
"Autre céréale de printemps de genre Secale","CPS","2019"
"Autre céréale de printemps de genre Triticum","CPT","2019"
"Féverole","FVL","2019"
"Jarosse déshydratée","JOD","2019"
"Lupin doux d'hiver","LDH","2019"
"Lupin doux de printemps","LDP","2019"
"Luzerne déshydratée","LUD","2019"
"Mélilot déshydraté","MED","2019"
"Pois d'hiver","PHI","2019"
"Pois de printemps","PPR","2019"
